无所作为	wú suǒ zuò wéi
而立之年	ér lì zhī nián
日短心长	rì duǎn xīn cháng
一重一掩	yī chóng yī yǎn
一病不起	yī bìng bù qǐ
千里之足	qiān lǐ zhī zú
一见如旧	yī jiàn rú jiù
一时之秀	yī shí zhī xiù
置之不理	zhì zhī bù lǐ
人不聊生	rén bù liáo shēng
人中龙虎	rén zhōng lóng hǔ
大逆不道	dà nì bù dào
得意之色	dé yì zhī sè
一面之雅	yī miàn zhī yǎ
万死不辞	wàn sǐ bù cí
一枝一节	yī zhī yī jié
心知其意	xīn zhī qí yì
无时无刻	wú shí wú kè
从天而下	cóng tiān ér xià
东山之志	dōng shān zhī zhì
不好意思	bù hǎo yì sī
心如木石	xīn rú mù shí
白头不终	bái tóu bù zhōng
身无分文	shēn wú fēn wén
居之不疑	jū zhī bù yí
天长地老	tiān cháng dì lǎo
大人虎变	dà rén hǔ biàn
一往无前	yī wǎng wú qián
流水行云	liú shuǐ xíng yún
行云流水	xíng yún liú shuǐ
出敌不意	chū dí bù yì
独一无二	dú yī wú èr
一代风流	yī dài fēng liú
日复一日	rì fù yī rì
兵出无名	bīng chū wú míng
天公地道	tiān gōng dì dào
日不移影	rì bù yí yǐng
天夺之年	tiān duó zhī nián
分文不取	fēn wén bù qǔ
天下为公	tiān xià wéi gōng
不足为虑	bù zú wéi lǜ
上天入地	shàng tiān rù dì
居心不良	jū xīn bù liáng
百舌之声	bǎi shé zhī shēng
青山一发	qīng shān yī fà
通同一气	tōng tóng yī yì
天马行空	tiān mǎ xíng kōng
千金一笑	qiān jīn yī xiào
一笑千金	yī xiào qiān jīn
心如止水	xīn rú zhǐ shuǐ
计无复之	jì wú fù zhī
水清无鱼	shuǐ qīng wú yú
金石之功	jīn shí zhī gōng
一举成名	yī jǔ chéng míng
不名一钱	bù míng yī qián
一钱不名	yī qián bù míng
足不出户	zú bù chū hù
不阴不阳	bù yīn bù yáng
百计千心	bǎi jì qiān xīn
色胆如天	sè dǎn rú tiān
胆大心小	dǎn dà xīn xiǎo
一日三岁	yī rì sān suì
山高水长	shān gāo shuǐ cháng
孤行一意	gū xíng yī yì
一意孤行	yī yì gū xíng
一面如旧	yī miàn rú jiù
微不足道	wēi bù zú dào
不冷不热	bù lěng bù rè
高人一筹	gāo rén yī chóu
无孔不入	wú kǒng bù rù
不解之仇	bù jiě zhī chóu
不谋而合	bù móu ér hé
过目不忘	guò mù bù wàng
居大不易	jū dà bù yì
清天白日	qīng tiān bái rì
天清日白	tiān qīng rì bái
不露神色	bù lù shén sè
有头无脑	yǒu tóu wú nǎo
千古一时	qiān gǔ yī shí
无往不复	wú wǎng bù fù
十死一生	shí sǐ yī shēng
才大如海	cái dà rú hǎi
高山流水	gāo shān liú shuǐ
流水高山	liú shuǐ gāo shān
要而言之	yào ér yán zhī
兼而有之	jiān ér yǒu zhī
无情无彩	wú qíng wú cǎi
无所不备	wú suǒ bù bèi
置之不顾	zhì zhī bù gù
文人相轻	wén rén xiāng qīng
食不重肉	shí bù zhóng ròu
动之以情	dòng zhī yǐ qíng
横行天下	héng xíng tiān xià
心中无数	xīn zhōng wú shù
言人人殊	yán rén rén shū
