衔胆栖冰	xián dǎn qī bīng
剖肝泣血	pōu gān qì xuè
聊以塞责	liáo yǐ sè zé
蓬户柴门	péng hù chái mén
右军习气	yòu jūn xí qì
振穷恤寡	zhèn qióng xù guǎ
禁鼎一脔	jìn dǐng yī luán
对牛弹琴	duì niú tán qín
倒戢干戈	dǎo jí gān gē
酌金馔玉	zhuó jīn zhuàn yù
挥毫落纸	huī háo luò zhǐ
蓬头跣足	péng tóu xiǎn zú
夸夸而谈	kuā kuā ér tán
遣将征兵	qiǎn jiāng zhēng bīng
仙山楼阁	xiān shān lóu gé
顾盼自豪	gù pàn zì háo
崭露头角	zhǎn lù tóu jiǎo
忿火中烧	fèn huǒ zhōng shāo
抱恨黄泉	bào hèn huáng quán
烜赫一时	xuǎn hè yī shí
刮骨去毒	guā gǔ qù dú
贫嘴滑舌	pín zuǐ huá shé
唱沙作米	chàng shā zuò mǐ
弃如敝屣	qì rú bì xǐ
如弃敝屣	rú qì bì xǐ
积讹成蠹	jī é chéng dù
一呼再喏	yī hū zài nuò
明廉暗察	míng lián àn chá
杯弓蛇影	bēi gōng shé yǐng
杯影蛇弓	bēi yǐng shé gōng
弓影杯蛇	gōng yǐng bēi shé
蛇影杯弓	shé yǐng bēi gōng
参商之虞	shēn shāng zhī yú
吊古寻幽	diào gǔ xún yōu
贿货公行	huì huò gōng xíng
货贿公行	huò huì gōng xíng
待贾而沽	dài jiǎ ér gū
断蛟刺虎	duàn jiāo cì hǔ
迈古超今	mài gǔ chāo jīn
暗箭明枪	àn jiàn míng qiāng
明枪暗箭	míng qiāng àn jiàn
养虎贻患	yǎng hǔ yí huàn
鸾吟凤唱	luán yín fèng chàng
金科玉臬	jīn kē yù niè
植党自私	zhí dǎng zì sī
涸思干虑	hé sī qián lǜ
米已成炊	mǐ yǐ chéng chuī
遗芳余烈	yí fāng yú liè
青紫被体	qīng zǐ pī tǐ
油头滑脸	yóu tóu huá liǎn
衡阳雁断	héng yáng yàn duàn
代拆代行	dài chāi dài xíng
放情丘壑	fàng qíng qiū hè
助桀为暴	zhù jié wéi bào
报仇雪恨	bào chóu xuě hèn
琼楼金阙	qióng lóu jīn què
呆似木鸡	dāi sì mù jī
面引廷争	miàn yǐn tíng zhēng
赶尽杀绝	gǎn jìn shā jué
隐介藏形	yǐn jiè cáng xíng
一塌糊涂	yī tā hú tú
标新领异	biāo xīn lǐng yì
领异标新	lǐng yì biāo xīn
价廉物美	jià lián wù měi
物美价廉	jià lián wù měi
缩头缩脑	suō tóu suō nǎo
如蚁附膻	rú yǐ fù shān
急杵捣心	jí chǔ dǎo xīn
焚舟破釜	fén zhōu pò fǔ
破釜焚舟	pò fǔ fén zhōu
阴疑阳战	yīn yí yáng zhàn
品头评足	pǐn tóu píng zú
评头品足	píng tóu pǐn zú
隐占身体	yin zhan shen qi
腹热肠荒	fù rè cháng huāng
肉食者鄙	ròu shí zhě bǐ
保家卫国	bǎo jiā wèi guó
敲牛宰马	qiāo niú zǎi mǎ
七拉八扯	qī lā bā chě
心痒难挝	xīn yǎng nán zhuā
以勤补拙	yǐ qín bǔ zhuō
暗送秋波	àn sòng qiū bō
率土同庆	shuài tǔ tóng qìng
砥志研思	dǐ zhì yán sī
都中纸贵	dū zhōng zhǐ guì
漂泊无定	piāo bó wú dìng
云窗月帐	yún chuāng yuè zhàng
光彩陆离	guāng cǎi lù lí
番来覆去	fān lái fù qù
体贴入微	tǐ tiē rù wēi
雪里送炭	xuě lǐ sòng tàn
鸱张鼠伏	chī zhāng shǔ fú
甜言蜜语	tián yán mì yǔ
攧扑不破	diān pū bù pò
鱼龙曼延	yú lóng màn yán
操刀制锦	cāo dāo zhì jǐn
躬行实践	gōng xíng shí jiàn
支吾其词	zhī wū qí cí
黄发骀背	huáng fā dài bèi
鸿爪春泥	hóng zhǎo chūn ní
怯声怯气	qiè shēng qiè qì
江郎才掩	jiāng láng cái yǎn
发凡起例	fā fán qǐ lì
贯通融会	guàn tōng róng huì
融会贯通	róng huì guàn tōng
泾渭自分	jīng wèi zì fēn
昂首伸眉	áng shǒu shēn méi
压雪求油	yā xuě qiú yóu
搔头抓耳	sāo tóu zhuā ěr
雪兆丰年	xuě zhào fēng nián
栉风酾雨	zhì fēng shī yǔ
拔宅飞升	bá zhái fēi shēng
物力维艰	wù lì wéi jiān
穷愁潦倒	qióng chóu liáo dǎo
藏怒宿怨	cáng nù sù yuàn
引商刻角	yǐn shāng kè jiǎo
敝衣粝食	bì yī lì shí
披发缨冠	pī fā yīng guàn
忠孝节义	zhōng xiào jié yì
捏一把汗	niē yī bǎ hàn
议论纷错	yì lùn fēn cuò
掩旗息鼓	yǎn qí xī gǔ
淫辞秽语	yín cí huì yǔ
飞沙扬砾	fēi shā yáng lì
扬铃打鼓	yáng líng dǎ gǔ
棋逢对手	qí féng duì shǒu
赏立诛必	shǎng lì zhū bì
瓮尽杯干	wèng jìn bēi gān
将胸比肚	jiāng xiōng bǐ dù
柔情媚态	róu qíng mèi tài
厕身其间	cè shēn qí jiān
隐晦曲折	yǐn huì qū zhé
碎骨粉尸	suì gǔ fěn shī
榆枋之见	yú fāng zhī jiàn
空谷幽兰	kōng gǔ yōu lán
惨绿愁红	cǎn lü chóu hóng
愁红惨绿	chóu hóng cǎn lü
红愁绿惨	hóng chóu lǜ cǎn
绿惨红愁	lǜ cǎn hóng chóu
拂袖而归	fú xiù ér guī
进退维谷	jìn tuì wéi gǔ
避毁就誉	bì fuǐ jiù yù
涕泗交下	tì sì jiāo xià
乘龙快婿	chéng lóng kuài xù
社燕秋鸿	shè yàn qiū hóng
急竹繁丝	jí zhú fán sī
刀耕火种	dāo gēng huǒ zhòng
散阵投巢	sàn zhèn tóu cháo
咏月嘲花	yǒng yuè cháo huā
因敌为资	yīn dí wéi zī
他山攻错	tā shān gōng cuò
季常之惧	jì cháng zhī jù
推涛作浪	tuī tāo zuò làng
昼阴夜阳	zhòu yīn yè yáng
遂迷不寤	suí mí bù wù
责无旁贷	zé wú páng dài
喜上眉梢	xǐ shàng méi shāo
分茅列土	fēn máo liè tǔ
列土分茅	liè tǔ fēn máo
一差二悮	yī chà èr wù
责有攸归	zé yǒu yōu guī
临河羡鱼	lín hé xiàn yú
衡情酌理	héng qíng zhuó lǐ
洗耳拱听	xǐ ěr gǒng tīng
敛手待毙	liǎn shǒu dài bì
削草除根	xuē cǎo chú gēn
闭关锁国	bì guān suǒ guó
弛声走誉	chí shēng zǒu yù
洛阳才子	luò yáng cái zǐ
人烟稠密	rén yān chóu mì
宾客迎门	bīn kè yíng mén
口吐珠玑	kǒu tǔ zhū jī
贪贿无艺	tān huì wú yì
锣鼓喧天	luó gǔ xuān tiān
驹光过隙	jū guāng guò xì
张灯结彩	zhāng dēng jié cǎi
苦思冥想	kǔ sī míng xiǎng
冥思苦想	míng sī kǔ xiǎng
水乳交融	shuǐ rǔ jiāo róng
砲凤烹龙	pào fèng pēng lóng
砲龙烹凤	pào lóng pēng fèng
烹龙砲凤	pēng lóng pào fèng
泾渭自明	jīng wèi zì míng
孤悬浮寄	gū xuán fú jì
量能授官	liàng néng shòu guān
百般刁难	bǎi bān diāo nàn
谓予不信	wèi yú bù xìn
药笼中物	yào lóng zhōng wù
衡石程书	héng shí chéng shū
汤烧火热	tāng shāo huǒ rè
敲冰玉屑	qiāo bīng yù xiè
草蛇灰线	cǎo shé huī xiàn
岂有此理	qǐ yǒu cǐ lǐ
老僧入定	lǎo sēng rù dìng
贱买贵卖	jiàn mǎi guì mài
买贱卖贵	mǎi jiàn mài guì
宽宏大量	kuān hóng dà liàng
响彻云表	xiǎng chè yún biǎo
众口纷纭	zhòng kǒu fēn yún
法家拂士	fǎ jiā bì shì
积谗磨骨	jī chán mó gǔ
乘鸾跨凤	chéng luán kuà fèng
跨凤乘鸾	kuà fèng chéng luán
上楼去梯	shàng lóu qù tī
民淳俗厚	mín chún sú hòu
惮赫千里	dàn hè qiān lǐ
研精殚力	yán jīng dān lì
鸿案相庄	hóng àn xiāng zhuāng
张袂成帷	zhāng mèi chéng wéi
蹙金结绣	cù jīn jié xiù
选贤与能	xuǎn xián yǔ néng
天涯咫尺	tiān yá zhǐ chǐ
咫尺天涯	zhǐ chǐ tiān yá
金章紫绶	jīn zhāng zǐ shòu
紫绶金章	zǐ shòu jīn zhāng
夫负妻戴	fū fù qī dài
谗口铄金	chán kǒu shuò jīn
履险蹈危	lǚ xiǎn dǎo wēi
艰苦奋斗	jiān kǔ fèn dòu
沉吟未决	chén yīn wèi jué
成群打伙	chéng qún dǎ huǒ
传经送宝	chuán jīng sòng bǎo
徒费唇舌	tú fèi chún shé
妄自菲薄	wàng zì fěi bó
乍毛变色	zhà máo biàn sè
因利乘便	yīn lì chéng biàn
半半拉拉	bàn bàn lā lā
材德兼备	cái dé jiān bèi
拔宅上升	bá zhái shàng shēng
虚骄恃气	xiù jiāo shì qì
逋慢之罪	bū màn zhī zuì
池鱼幕燕	chí yú mù yàn
名闻遐迩	míng wén xiá ěr
闻名遐迩	wén míng xiá ěr
遐迩闻名	xiá ěr wén míng
染翰成章	rǎn hàn chéng zhāng
布衣黔首	bù yī qián shǒu
秤平斗满	chèng píng dǒu mǎn
何必当初	hé bì dāng chū
枉口诳舌	wǎng kǒu kuáng shé
班衣戏采	bān yī xì cǎi
朱盘玉敦	zhū pán yù duì
分别部居	fēn bié bù jū
鱼与熊掌	yú yǔ xióng zhǎng
形输色授	xíng shū sè shòu
倾家竭产	qīng jiā jié chǎn
真刀真枪	zhēn dāo zhēn qiāng
凿坏以遁	záo pī yǐ dùn
功标青史	gōng biāo qīng shǐ
挫骨扬灰	cuò gǔ yáng huī
温文尔雅	wēn wén ěr yǎ
谄词令色	chǎn cí lìng sè
廉可寄财	lián kě jì cái
烛照数计	zhú zhào shù jì
掩目捕雀	yǎn mù bǔ què
狼奔鼠窜	láng bēn shǔ cuàn
鼠窜狼奔	shǔ cuàn láng bēn
碍足碍手	ài zú ài shǒu
躬蹈矢石	gōng dǎo shǐ shí
效死勿去	xiào sǐ wù qù
倚玉偎香	yǐ yù wēi xiāng
胡诌乱道	hú zhōu luàn dào
清新俊逸	qīng xīn jùn yì
厕足其间	cè zú qí jiān
寒蝉仗马	hán chán zhàng mǎ
仗马寒蝉	zhàng mǎ hán chán
返本还元	fǎn běn huán yuán
还元返本	huán yuán fǎn běn
兼程并进	jiān chéng bìng jìn
歪八竖八	wāi bā shù bā
运拙时艰	yùn zhuō shí jiān
始末原由	shǐ mò yuán yóu
虚晃一枪	xiù huàng yī qiāng
杀敌致果	shā dí zhì guǒ
卓荦不羁	zhuó luò bù jī
拜恩私室	bài ēn sī shì
借篷使风	jiè péng shǐ fēng
亡猿灾木	wáng yuán zāi mù
兔起凫举	tǔ qǐ fú jǔ
舐犊之爱	shì dú zhī ài
徇私作弊	xùn sī zuò bì
装潢门面	zhuāng huáng mén miàn
汗流浃体	hàn liú jiā tǐ
推诚置腹	tuī chéng zhì fù
焚尸扬灰	fén shī yáng huī
十室九匮	shí shì jiǔ kuì
当局者迷	dāng jú zhě mí
伯仲之间	bó zhòng zhī jiān
欺贫爱富	qī pín ài fù
坐收渔利	zuò shōu yú lì
进贤黜奸	jìn xián chù jiān
