derivation,example,explanation,pinyin,word,abbreviation,pinyin_r,first,last
明·周楫《西湖二集·侠女散财殉节》若是一个略略知趣的，见家主来光顾，也便逆来顺受。”,从前受了主人的骂，无非～。★清·吴趼人《二十年目睹之怪现状》第九十三回,指对恶劣的环境或无礼的待遇采取顺从和忍受的态度。,nì lái shùn shòu,逆来顺受,nlss,ni lai shun shou,ni,shou
鲁迅《且介亭杂文·门外文谈》即使目下还有点逆水行舟，也只好拉纤。”,无,逆着水流的方向行船。比喻不努力就要后退。,nì shuǐ xíng zhōu,逆水行舟,nsxz,ni shui xing zhou,ni,zhou
元·杨立斋《哨遍》三国志无过说些战伐，也不希咤，终少些团香弄玉，惹草粘花。”,彩云生性本～。（清·曾朴《孽海花》第三十一回）,拈捏；惹招惹；草、花比喻好。比喻到处留情，多指男女间的挑逗引诱。,niān huā rě cǎo,拈花惹草,nhrc,nian hua re cao,nian,cao
毛泽东《纪念白求恩》不少人对工作不负责任，拈轻怕重，把重担子推给人家，自己挑轻的。”,无,指接受任务时拣轻的担子挑，怕挑重担。,niān qīng pà zhòng,拈轻怕重,nqpz,nian qing pa zhong,nian,zhong
清·李汝珍《镜花缘》第二回每逢闲暇，无非敲枰相聚。日复一日，年复一年，也不知人间岁月几何。”,～，日复一日，生涯几何，宁堪此弃掷哉？★清·无名氏《杜诗言志》卷一,一年又一年。比喻日子久，时间长。也形容光阴白白地过去。,nián fù yī nián,年复一年,nfyn,nian fu yi nian,nian,nian
《论语·子罕》后生可畏”宋·朱熹注孔子言后生年富力强，足以积学而有待，其势可畏。”,趁你们～的时候，为人民做出更多的贡献吧！（郭沫若《科学的春天》）,年富未来的年岁多。形容年纪轻，精力旺盛。,nián fù lì qiáng,年富力强,nflq,nian fu li qiang,nian,qiang
无,无,古稀指七十岁。年纪将近七十岁。,nián jìn gǔ xī,年近古稀,njgx,nian jin gu xi,nian,xi
清·曹雪芹《红楼梦》第七十一回老太太也太想的到。实在我们年轻力壮的人，捆上十个也赶不上。”,无,壮健壮。年纪轻，体力强。,nián qīng lì zhuàng,年轻力壮,nqlz,nian qing li zhuang,nian,zhuang
无,无,年事年纪。指一个人的岁数已经很大了。,nián shì yǐ gāo,年事已高,nsyg,nian shi yi gao,nian,gao
唐·杜甫《曲江》诗酒债寻常行处有，人生七十古来稀。”,无,指年龄已超过七十岁。,nián yú gǔ xī,年逾古稀,nygx,nian yu gu xi,nian,xi
《朱子全书·论语》言其于忠信笃敬，念念不忘。”,此吾所以感刻于心，而～者也。★清·无名氏《杜诗言志》卷三,念念时刻思念着。形容牢记于心，时刻不忘。,niàn niàn bù wàng,念念不忘,nnbw,nian nian bu wang,nian,wang
明·吴承恩《西游记》手里捻珠，口内念念有词，往那巽地上吹了一口气，忽的吹降去，便是一狂风。”,无,念念连续不断地念叨。旧指和尚念经，现指低声自语或含糊不清地说个不停。,niàn niàn yǒu cǐ,念念有词,nnyc,nian nian you ci,nian,ci
《尚书·大禹漠》帝念哉！念兹在兹，释兹在兹。名言兹在兹，允出兹在兹，惟帝念功。”,他们和Ｆ总长，都～”，在尘埃中间和破纸旁边离不开。★鲁迅《而已集·谈所谓大内档案”》,念思念；兹此，这个。泛指念念不忘某一件事情。,niàn zī zài zī,念兹在兹,nzzz,nian zi zai zi,nian,zi
清·文康《儿女英雄传》第三十六回那个气好比烟袋换吹筒，吹筒换鸟枪，鸟枪换炮，越吹越壮了。”,无,形容情况或条件有很大的好转。,niǎo qiāng huàn pào,鸟枪换炮,nqhp,niao qiang huan pao,niao,pao
宋·吕本中《紫薇·庵居》鸟语花香变夕阴，稍闲复恐病相寻。”,一路行来，山青水绿，～，真是个好风景也。★清·李渔《比目鱼·肥遁》,鸟叫得好听，花开得喷香。形容春天的美好景象。,niǎo yǔ huā xiāng,鸟语花香,nyhx,niao yu hua xiang,niao,xiang
清·曹雪芹《红楼梦》第六十二回赵姨娘正因彩云私赠了许多东西，被玉钏儿吵出，生恐查诘出来，每日捏一把汗打听信儿。”,我最初实在替这孩子～，待到掘出黄金一釜，这才觉得轻松。★鲁迅《朝花夕拾·二十四孝图》,因担心而手上出汗。形容非常紧张的心情。,niē yī bǎ hàn,捏一把汗,nybh,nie yi ba han,nie,han
清·曹雪芹《红楼梦》第五十四回于是大家蹑手蹑脚，潜踪进镜壁去一看。”,为了不影响别人，同学们在阅览室里走路都是～的。,形容放轻脚步走的样子。也形容偷偷摸摸、鬼鬼祟祟的样子。,niè shǒu niè jiǎo,蹑手蹑脚,nsnj,nie shou nie jiao,nie,jiao
《左传·襄公二十六年》善为国者，赏不僭而刑不滥……若不幸而过，宁僭不滥。”,前天晚上，我们不是决定了～”的宗旨么？（茅盾《子夜》五）,宁宁愿；毋不；滥过度。盐人才或挑选事物，宁可少一些，也不要不顾质量贪多凑数。,nìng quē wù làn,宁缺毋滥,nqwl,ning que wu lan,ning,lan
明·赵弼《宋进士袁镛忠义传》以大义拒敌，宁死不屈，竟燎身于烈焰中。”,许大马棒转回身，提着枪，恶狠狠地瞅着～工作队的同志们。★曲波《林海雪原》二,宁愿死也不屈服。,nìng sǐ bù qū,宁死不屈,nsbq,ning si bu qu,ning,qu
宋·苏轼《送欧阳主簿赴官韦城》诗读遍牙签三万轴，欲来小邑试牛刀。”,无,牛刀宰牛的刀；小试稍微用一下，初显身手。比喻有大本领的人，先在小事情上略展才能。也比喻有能力的人刚开始工作就表现出才。,niú dāo xiǎo shì,牛刀小试,ndxs,niu dao xiao shi,niu,shi
唐·李贺《李贺集序》鲸吸鳌掷，牛鬼蛇神，不足为其虚荒诞幻也。”,无,牛头的鬼，蛇身的神。原形容虚幻怪诞◇比喻社会上形形色色的坏人。,niú guǐ shé shén,牛鬼蛇神,ngss,niu gui she shen,niu,shen
《古诗十九首》迢迢牵牛星，皎皎河汉女。纤纤擢素手，札札弄机杼。终日不成章，泣涕零如雨∮汉清且浅，相去复几许？盈盈一水间，脉脉不得语。”,尝笔唐人《七夕》诗，咏～，皆作会别可怜之语，殊失命名本旨。★清·郑燮《范县署中寄余弟墨粉四书》,牛郎织女为神话人物，从牵牛星、织女星的星名衍化而来。比喻分居两地的夫妻。也泛指一对恋人。,niú láng zhī nǚ,牛郎织女,nlzn,niu lang zhi nv,niu,nv
明·吴承恩《西游记》第三十四回那般娇娇啻啻，扭扭捏捏，就象那老怪的行动。”,难为你说的齐全，别象他们～的蚊子似的。★清·曹雪芹《红楼梦》第二十七回,行走时身体故意左右扭动亿。形容举止言谈不爽快，不大方或故做姿态和。,niǔ niǔ niē niē,扭扭捏捏,nnnn,niu niu nie nie,niu,nie
无,无,用浓重的墨汁和颜色来描绘。形容着力描写。,nóng mò zhòng cǎi,浓墨重彩,nmzc,nong mo zhong cai,nong,cai
明·施耐庵《水浒传》每日只是浓妆艳抹，和西门庆做一处取乐。”,她穿得比以前漂亮，而且是～，还戴了一副长耳坠。★巴金《家》,形容妇女妆饰打扮得十分艳丽。,nóng zhuāng yàn mǒ,浓妆艳抹,nzym,nong zhuang yan mo,nong,mo
宋·邵雍《弄笔吟》弄假像真终是假，将勤补拙总轮勤。”,那一个掌亲的，怎知道～。★元·无名氏《隔江斗智》第二折,本来是假装的，结果却弄成了真的。,nòng jiǎ chéng zhēn,弄假成真,njcz,nong jia cheng zhen,nong,zhen
宋·黄庭坚《拙轩颂》弄巧成拙，为蛇画足。”,孩儿系深闺幼女，此事俱是父亲失言，～。★明·许仲琳《封神演义》第五十六回,本想耍弄聪明，结果做了蠢事。,nòng qiǎo chéng zhuō,弄巧成拙,nqcz,nong qiao cheng zhuo,nong,zhuo
无,无论做什么事都应该实事求是，不该弄虚作假。,耍花招欺骗人。,nòng xū zuò jiǎ,弄虚作假,nxzj,nong xu zuo jia,nong,jia
清·李宝嘉《官场现形记》第二十七回贾大少爷正在自己动手掀王师爷的铺盖，被王师爷回来从门缝里瞧见了，顿时气愤填膺，怒不可遏。”,无,遏止。愤怒地难以抑制。形容十分愤怒。,nù bù kě è,怒不可遏,nbke,nu bu ke e,nu,e
《庄子·盗跖》盗跖闻之大怒，目如明星，发上指冠。”《史记·廉颇蔺相如列传》相如因持璧却立倚柱，怒发上冲冠。”,～，凭栏处，潇潇雨歇。★宋·岳飞《满江红》词,指愤怒得头发直竖，顶着帽子。形容极端愤怒。,nù fà chōng guān,怒发冲冠,nfcg,nu fa chong guan,nu,guan
宋·王迈《舑轩集》虚舟相触何心在，怒火虽炎一响空。”,这时见四个师弟非欲置自己和师父于死地，不由～。★古龙《长干行》,中；心中。怒火在心中燃烧。形容心中怀着极大的愤怒。,nù huǒ zhōng shāo,怒火中烧,nhzs,nu huo zhong shao,nu,shao
明·罗贯中《三国演义》第三回李儒见丁原背后一人，生得器宇轩昂，威风凛凛，手执方天画戟，怒目而视。”,无,睁圆了眼睛瞪视着。形容正要大发脾气的神情。,nù mù ér shì,怒目而视,nmes,nu mu er shi,nu,shi
清·魏秀仁《花月痕》第十二回［钱同秀］一手将烟灯砸在地下，说道‘好好，你们做了一路！’就怒气冲冲的出来上车。”,张学海不等汤阿英说完，就～地质问‘陶阿毛有啥不同？他不也是工人吗？’★周而复《上海的早晨》第一部九,盛怒的样子。,nù qì chōng chōng,怒气冲冲,nqcc,nu qi chong chong,nu,chong
元·杨显之《潇湘雨》第四折我和他有甚恩情相顾恋，待不沙又怕背了这恩人面，只落的嗔嗔忿忿，伤心切齿，怒气冲天。”,任大老爷见了，更加～。★清·张春帆《宦海》第十三回,怒气冲上天空。形容愤怒到极点。,nù qì chōng tiān,怒气冲天,nqct,nu qi chong tian,nu,tian
